Linea 41: //pronoun = "  ";
Linea 281: say("@Chuckles? Hast thou seen him? I do hope nothing hath happened to him, he hasn't been around lately...@");
Linea 284: say("You break your promise to Chuckles and explain to Lord British that Chuckles usurped his power during his absence, hid Lucy's death from him and hid his association with Drudgeworth.");
Linea 285: say("Lord British looks incredulous.  @Avatar, those are pretty serious accusations. How dost thou know of this, is there proof?@");
Linea 290: say("Lord British reads the leaflet and furrows his brow. @This is definitely not my handwriting but it its my stationary. Conspiring to keep this secret from me for all those years...@");
Linea 291: say("@..and wenching! Such lewd behavior is inappropriate for members of my royal court. That poor girl.@");
Linea 292: say("He sighs. @I must have a talk with Chuckles over this. What else shall you have me do, after all these years? And why now, bring it to my attention when we have more pressing matters such as the gargoyle invasion?@");
Linea 293: say("@" + player_name + ", I knowest Honesty is one of the virtues and all..@");
Linea 294: say("@but really Avatar...@");
Linea 295: say("@..thou musn't tattle.@");
Linea 307: say("@Well Avatar, where is it? Why are you wasting time with wild accusations while the gargoyles are running amok?@");
Linea 313: avatar_goodbye = "@Farewell, my liege.@";
Linea 314: npc_goodbye = "@May fortune favor thee.@";
